SMILES,measurement_type,measurement_value,Kinase_name
C=CC(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccccc4)c23)c1,pIC50,10.8,JAK3
C=CC(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,pIC50,7.35,JAK1
C=CC(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,pIC50,7.35,JAK3
C=CC(=O)Nc1cccc(-n2cnc3cnc(Nc4ccc(OCCCN5CCOCC5)cc4)nc32)c1,pIC50,7.14,JAK1
C=CC(=O)Nc1cccc(-n2cnc3cnc(Nc4ccc(OCCCN5CCOCC5)cc4)nc32)c1,pIC50,7.14,JAK3
C=CC1(O)CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(C#N)C1,pIC50,8.22,JAK2
C=CC1(O)CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(C#N)C1,pIC50,9.07,JAK1
C=CCOCCC(=O)N1CCCC12CCCN(c1ncnc3[nH]ccc13)C2,pIC50,7.33,JAK1
C=CCOCCC(=O)N1CCCC12CCCN(c1ncnc3[nH]ccc13)C2,pIC50,7.33,JAK3
CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,pIC50,6,JAK3
CC(C)=C(C)c1cccc2c(CCCOc3cccc(Cl)c3Cl)c(C(=O)O)[nH]c12,pKi,6,JAK2
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OC)c23)ccc1F,pIC50,9.4,JAK1
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OC)c23)ccc1F,pIC50,9.4,JAK3
C=C(C)C(=O)Nc1cccc(CNc2nc(Nc3cnn(CCOC)c3)ncc2Cl)c1,pIC50,8.11,JAK1
C=C(C)C(=O)Nc1cccc(CNc2nc(Nc3cnn(CCOC)c3)ncc2Cl)c1,pIC50,8.11,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OC)c23)c1,pIC50,8.7,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OC)c23)c1,pIC50,8.7,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C4=CCOCC4)c23)c1,pIC50,8.3,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C4=CCOCC4)c23)c1,pIC50,8.3,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C4CCOCC4)c23)c1,pIC50,8.08,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C4CCOCC4)c23)c1,pIC50,8.08,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccc(F)cc4)c23)c1,pIC50,8.82,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccc(F)cc4)c23)c1,pIC50,8.82,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccc(F)c4)c23)c1,pIC50,9.23,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccc(F)c4)c23)c1,pIC50,9.23,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccc(F)c4Cl)c23)c1,pIC50,8.82,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccc(F)c4Cl)c23)c1,pIC50,8.82,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccccc4F)c23)c1,pIC50,9.02,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccccc4F)c23)c1,pIC50,9.02,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccnc4)c23)c1,pIC50,8.01,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccnc4)c23)c1,pIC50,8.01,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnc[nH]4)c23)c1,pIC50,8.12,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnc[nH]4)c23)c1,pIC50,8.12,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnco4)c23)c1,pIC50,8.3,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnco4)c23)c1,pIC50,8.3,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cncs4)c23)c1,pIC50,8.74,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cncs4)c23)c1,pIC50,8.74,JAK3
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ncco4)c23)c1,pIC50,8.1,JAK1
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ncco4)c23)c1,pIC50,8.1,JAK3
CC(C#N)=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,7.26,JAK2
CC(C#N)=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,7.7,JAK1
CC(C#N)=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,6.35,TYK2
CC(C#N)=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,6.24,JAK3
CC(=NNC(=N)N)c1cc(NC(=O)NCCCCCCNC(=O)Nc2cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c2)cc(C(C)=NNC(=N)N)c1,pKi,6,JAK2
CC(=NNC(=N)N)c1cc(NC(=O)NCCCCCCNC(=O)Nc2cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c2)cc(C(C)=NNC(=N)N)c1,pKi,6,JAK3
CC(=NNC(=N)N)c1cc(NC(=O)c2cccc(C(=O)Nc3cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c3)c2)cc(C(C)=NNC(=N)N)c1,pKi,6.7,JAK2
CC(=NNC(=N)N)c1cc(NC(=O)c2cccc(C(=O)Nc3cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c3)c2)cc(C(C)=NNC(=N)N)c1,pKi,6.7,JAK3
COCc1nnn(-c2nonc2N)c1C(=O)NN=C(C)c1ccc(O)cc1O,pKi,6.1,JAK3
[C-]#[N+]C1CCCCC1n1cc(C(N)=O)c(Nc2ccc(C(C)=NOC)cc2)n1,pIC50,8.7,JAK2
[C-]#[N+]C1CCCCC1n1cc(C(N)=O)c(Nc2ccc(C(C)=NOC)cc2)n1,pIC50,9.46,JAK1
CC(=O)C1=CCn2c3ccccc3c3c4c(c5c6ccccc6n(c5c32)C1)C(=O)NC4=O,pIC50,8.15,JAK1
CC(=O)C1=CCn2c3ccccc3c3c4c(c5c6ccccc6n(c5c32)C1)C(=O)NC4=O,pIC50,8.15,JAK3
CC(=O)C1CCCN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)C1,pIC50,7.66,JAK2
CC(=O)C1CCCN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)C1,pIC50,8.15,JAK1
CC(=O)C1CCCN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)C1,pIC50,8.15,JAK3
CC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,pIC50,6.29,JAK2
CC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,pIC50,7.03,JAK1
CC(=O)N1CC2CC(Nc3nc(Nc4cnn(C)c4)ncc3Cl)CC2C1,pIC50,7.43,JAK2
CC(=O)N1CC2CC(Nc3nc(Nc4cnn(C)c4)ncc3Cl)CC2C1,pIC50,8.52,JAK1
CC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pIC50,10.4,JAK2
CC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,10.6,JAK1
CC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pIC50,10.4,JAK3
CC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,10.6,JAK3
C=CC(=O)Nc1cccc(CNc2nc(NC3CCN(C(C)=O)C3)ncc2Cl)c1,pIC50,7,JAK1
C=CC(=O)Nc1cccc(CNc2nc(NC3CCN(C(C)=O)C3)ncc2Cl)c1,pIC50,7,JAK3
CC(=O)N1CCC(CN2CC3CN(C(=O)Cn4cc(NC(=O)c5cnn6cccnc56)c(-c5cc(Cl)ccc5OC(F)F)n4)CC3C2)CC1,pKi,9.02,JAK2
CC(=O)N1CCC(CN2CC3CN(C(=O)Cn4cc(NC(=O)c5cnn6cccnc56)c(-c5cc(Cl)ccc5OC(F)F)n4)CC3C2)CC1,pKi,9.03,JAK1
CC(=O)N1CCC(CN2CCC(n3cc(NC(=O)c4c(N)nn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2)CC1,pKi,9.89,JAK2
CC(=O)N1CCC(CN2CCC(n3cc(NC(=O)c4c(N)nn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2)CC1,pKi,9.24,JAK1
CC(=O)N1CCC(N2CCC(n3cc(NC(=O)c4c(N)nn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2)CC1,pKi,9.77,JAK2
CC(=O)N1CCC(N2CCC(n3cc(NC(=O)c4c(N)nn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2)CC1,pKi,9.27,JAK1
CC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CC1,pIC50,10.12,JAK2
CC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CC1,pKi,9.51,JAK1
CC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CC1,pIC50,10.12,JAK3
CC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CC1,pKi,9.51,JAK3
CC(=O)N1CCC(Nc2c(C(N)=O)cnc3[nH]ccc23)CC1,pIC50,6.19,JAK2
CC(=O)N1CCC(Nc2c(C(N)=O)cnc3[nH]ccc23)CC1,pIC50,6.47,JAK1
CC(=O)N1CCC(Nc2c(C(N)=O)cnc3[nH]ccc23)CC1,pIC50,6.47,JAK3
CC(=O)N1CCC2(CCC(Nc3nc(Nc4cnn(C)c4)ncc3Cl)CC2)CC1,pIC50,8.4,JAK2
CC(=O)N1CCC2(CCC(Nc3nc(Nc4cnn(C)c4)ncc3Cl)CC2)CC1,pIC50,9.05,JAK1
CC(=O)N1CCC2(CCC(Nc3nc(Nc4cnn(C)c4)ncc3Cl)CC2)CC1,pIC50,8.4,TYK2
CC(=O)N1CCC2(CCC(Nc3nc(Nc4cnn(C)c4)ncc3Cl)CC2)CC1,pIC50,7.33,JAK3
CC(=O)N1CCC2CC(N(C)c3ncnc4[nH]ccc34)CC2C1,pIC50,7.8,JAK2
CC(=O)N1CCC2CC(N(C)c3ncnc4[nH]ccc34)CC2C1,pIC50,8.52,JAK1
CC(=O)N1CCCC(NC(=O)Nc2cnc3[nH]ccc3n2)C1,pIC50,7.04,JAK2
CC(=O)N1CCCC(NC(=O)Nc2cnc3[nH]ccc3n2)C1,pIC50,7.09,JAK1
CC(=O)N1CCCC(NC(=O)Nc2cnc3[nH]ccc3n2)C1,pIC50,7.09,JAK3
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3nc[nH]c3n2)C1,pKi,8.63,JAK1
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3nc[nH]c3n2)C1,pIC50,8.33,JAK3
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3nc[nH]c3n2)C1,pKi,8.63,JAK3
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pIC50,10.64,JAK2
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,11.18,JAK1
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pIC50,10.89,JAK3
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,11.18,JAK3
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ncc3n2)C1,pIC50,8,JAK2
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ncc3n2)C1,pIC50,8,JAK1
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ncc3n2)C1,pIC50,8,JAK3
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3cc[nH]c3n2)C1,pIC50,8,JAK2
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3cc[nH]c3n2)C1,pIC50,8,JAK1
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3cc[nH]c3n2)C1,pIC50,8,JAK3
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3ccn(C)c3n2)C1,pIC50,8,JAK2
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3ccn(C)c3n2)C1,pIC50,8,JAK1
CC(=O)N1CCCC(Nc2ncccc2-c2cnc3ccn(C)c3n2)C1,pIC50,8,JAK3
CC(=O)N1CCCC12CCCN(c1ncnc3[nH]ccc13)C2,pIC50,6.6,JAK1
CC(=O)N1CCCC12CCCN(c1ncnc3[nH]ccc13)C2,pIC50,6.6,JAK3
CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pIC50,10.72,JAK2
CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,10.26,JAK1
CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pIC50,10.72,JAK3
CC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,10.26,JAK3
CC(=O)N1CCCCC12CCCN(c1ncnc3[nH]ccc13)C2,pIC50,6.34,JAK1
CC(=O)N1CCCCC12CCCN(c1ncnc3[nH]ccc13)C2,pIC50,6.34,JAK3
CC(=O)N1CCCCC12CCN(c1ncnc3[nH]ccc13)C2,pIC50,6.82,JAK1
CC(=O)N1CCCCC12CCN(c1ncnc3[nH]ccc13)C2,pIC50,6.82,JAK3
CC(=O)N1CCN(C2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccc(F)cc4)n3)CC2)CC1,pIC50,6.65,JAK2
CC(=O)N1CCN(C2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccc(F)cc4)n3)CC2)CC1,pIC50,7.89,JAK1
CC(=O)N1CCN(Cc2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)CC1,pIC50,6.07,JAK2
CC(=O)N1CCN(Cc2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)CC1,pIC50,6.48,JAK1
CC(=O)N1CCN(S(=O)(=O)c2ccc(Nc3nn(C4CCCCC4C#N)cc3C(N)=O)cc2)CC1,pIC50,9,JAK2
CC(=O)N1CCN(S(=O)(=O)c2ccc(Nc3nn(C4CCCCC4C#N)cc3C(N)=O)cc2)CC1,pIC50,9.3,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3cc(F)c(N4CCN(C(C)=O)CC4)c(F)c3)ncc2Cl)c1,pIC50,8.44,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3cc(F)c(N4CCN(C(C)=O)CC4)c(F)c3)ncc2Cl)c1,pIC50,8.44,JAK3
CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C(C)=O)CC3)ccc2OC)ncc1Br,pKi,8.3,JAK2
CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C(C)=O)CC3)ccc2OC)ncc1Br,pKi,7.1,TYK2
CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C(C)=O)CC3)ccc2OC)ncc1Br,pKi,7.9,JAK3
CC(=O)N1CCN(c2ccc3cc2COCC=CCOCc2cccc(c2)-c2ccnc(n2)N3)CC1,pIC50,6.96,JAK2
CC(=O)N1CCN(c2ccc3cc2COCC=CCOCc2cccc(c2)-c2ccnc(n2)N3)CC1,pIC50,6.96,TYK2
CC(=O)NC1CCN(CC2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)C1,pIC50,7.24,JAK2
CC(=O)NC1CCN(CC2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)C1,pIC50,8.32,JAK1
CC(=O)NC1CCN(CC2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)C1,pIC50,6.21,TYK2
CC(=O)NC1CCc2ccc(Oc3cnc4[nH]cc(C(=O)NC(C(=O)N5CC(C#N)C5)C(C)(C)C)c4n3)cc21,pIC50,6.35,JAK2
CC(=O)NC1CCc2ccc(Oc3cnc4[nH]cc(C(=O)NC(C(=O)N5CC(C#N)C5)C(C)(C)C)c4n3)cc21,pIC50,7.24,JAK1
CC(=O)NC1CCc2ccc(Oc3cnc4[nH]cc(C(=O)NC(C(=O)N5CC(C#N)C5)C(C)(C)C)c4n3)cc21,pIC50,7.24,JAK3
CC(=O)NC1CCc2ccc(Oc3cnc4[nH]cc(C(=O)NC(C(=O)N5CC(C#N)C5)C5CC5)c4n3)cc21,pIC50,7.41,JAK2
CC(=O)NC1CCc2ccc(Oc3cnc4[nH]cc(C(=O)NC(C(=O)N5CC(C#N)C5)C5CC5)c4n3)cc21,pIC50,8.3,JAK1
CC(=O)NC1CCc2ccc(Oc3cnc4[nH]cc(C(=O)NC(C(=O)N5CC(C#N)C5)C5CC5)c4n3)cc21,pIC50,8.3,JAK3
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,pKi,8.4,JAK2
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,pKi,7.9,TYK2
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,pKi,7.6,JAK3
CC(=O)NCC1CCCN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)C1,pIC50,7.82,JAK2
CC(=O)NCC1CCCN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)C1,pIC50,8.78,JAK1
CC(=O)NCC1CCCN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)C1,pIC50,8.78,JAK3
CC(=O)NCCCN1CCC(n2cc(NC(=O)C(C(=N)N)=C3N=CC=CN3)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,pKi,9.77,JAK2
CC(=O)NCCCN1CCC(n2cc(NC(=O)C(C(=N)N)=C3N=CC=CN3)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,pKi,9.14,JAK1
CC(=O)NCCCN1CCC(n2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,pKi,9.42,JAK2
CC(=O)NCCCN1CCC(n2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,pKi,8.78,JAK1
CC(=O)Nc1c(C(N)=O)sc2ccc(Cl)c(Cl)c12,pKi,6.1,JAK2
CC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,pKi,6.51,JAK2
CC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,pKi,7.02,TYK2
CC(=O)Nc1cc2c(NC3CCC(C)(O)C3(C)C)c(C(N)=O)cnn2c1,pIC50,9.05,JAK1
CC(=O)Nc1cc2c(NC3CCC(C)(O)C3(C)C)c(C(N)=O)cnn2c1,pIC50,9.05,JAK3
CC(=O)Nc1ccc(C=C2C(=O)Nc3ccc(C(=O)c4cccs4)cc32)cc1,pIC50,6.15,JAK1
CC(=O)Nc1ccc(C=C2C(=O)Nc3ccc(C(=O)c4cccs4)cc32)cc1,pIC50,6.15,JAK3
CC(=O)Nc1ccc(CN2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccccc4)n3)CC2)cc1,pIC50,6.89,JAK2
CC(=O)Nc1ccc(CN2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccccc4)n3)CC2)cc1,pIC50,8.15,JAK1
CC(=O)Nc1ccc(Nc2nn(C(CC#N)C3CC3)cc2C(N)=O)cc1,pIC50,7.35,JAK2
CC(=O)Nc1ccc(Nc2nn(C(CC#N)C3CC3)cc2C(N)=O)cc1,pIC50,8.1,JAK1
